,city,developer,price,water-availability,status-of-electricity,furnishing,bedrooms,bathrooms,status,configuration,tower-and-unit-details,recommended-for,neighborhood,roads,safety,cleanliness,public-transport,parking,connectivity,traffic,school,restaurants,hospital,market,locality-rating,verified_id,capacity
467,Gurgaon,SignatureGlobalGroup,5080000,4,Semi-Furnished,,3,4,0,"1,4,3BHKFlat|4,3BHKBuilderFloorApartment",867Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,48,1,4
468,Gurgaon,MapskoGroupPvtLtd,1000000,44HoursAvailable,No/RarePowercut,Semi-Furnished,3,3,3,"3,4BHKFlat","8Towers,756Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,46,1,4
469,Gurgaon,M3MIndiaPvtLtd,8000000,44HoursAvailable,No/RarePowercut,,4SeeDimensionBedroom115X14ft,4,0,"4,3BHKFlat",864Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,4,4,46,1,4
470,Gurgaon,LuxuryFloorsGroup,15000000,1,Semi-Furnished,,3SeeDimensionBedroom118X15ft,4,3,3BHKBuilderFloorApartment,1Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,45,1,4
471,Gurgaon,SSGroup,44900000,4,Semi-Furnished,4more,5SeeDimensionsBedroom115X17ftBedroom415X17ftBedroom315X17ftBedroom415X17ftBedroom515X17ft,5,0,"4,3,4,5BHKFlat|4,5BHKVilla|4,5BHKPenthouse","10Towers,560Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,4,4,44,1,4
474,Gurgaon,ZenithRealEstate,34500000,No/RarePowercut,1,3,5,5,3,"3,4,5BHKBuilderFloorApartment","1Tower,56Units","Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,4,4,4,4,4,44,1,4
473,Gurgaon,AshianaHousingLtd,7400000,No/RarePowercut,4,,4,4,3,"4,3BHKFlat","5Towers,150Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,46,1,4
474,Gurgaon,BirlaEstatesPvtLtdandAnantRajLtd,19600000,EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,RC/REP/HARERA/GGM/390/144/4040/06,"Marble,Wooden",3SeeDimensionsBedroom111X111ftBedroom4111X147ftBedroom3111X111ft,3,1,"4,3,4BHKFlat|4,3,4BHKBuilderFloorApartment","75Towers,305Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,5,1,4
475,Gurgaon,SOBHALtd,18000000,No/RarePowercut,4,,3SeeDimensionBedroom115X14ft,3,0,"4,3,4BHKFlat|3,4,5BHKVilla","44Towers,1748Units","Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,4,4,3,3,3,46,1,4
476,Moradabad,SupertechLtd,5650000,5to10years,Unfurnished,,3,4,3,"4,3BHKFlat","6Towers,464Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,3,45,1,4
477,Moradabad,SLGroup,3910000,EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,"Pool,Garden/Park,MainRoad",Semi-Furnished,4,4,3,"4,3BHKFlat","3Towers,350Units","Retirees,,Family,,Couple,,",4,5,4,4,4,4,4,3,4,3,3,4,44,1,4
478,Bhubaneswar,DNHomesPvtLtd,8750000,4,Unfurnished,,3,4,0,"4,3BHKFlat","14Towers,708Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,46,1,4
479,Bhubaneswar,AMJGlobalHomesLLP,8680000,1Covered,44HoursAvailable,4,3SeeDimensionBedroom114X14ft,3,0,"4,3BHKFlat","6Towers,714Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,3,4,45,1,4
480,Bhubaneswar,EvosBuildconPvtLtd,14100000,1,Unfurnished,,3SeeDimensionBedroom114X17ft,4,0,3BHKBuilderFloorApartment,"1Tower,8Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,48,1,4
481,Bhubaneswar,SurekaGroupandMerlinGroup,7130000,44HoursAvailable,No/RarePowercut,Unfurnished,3,4,0,"4,3BHKFlat","7Towers,394Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,4,4,47,1,4
484,Bhubaneswar,CovenantsDevelopersPvtLtd,7650000,No/RarePowercut,4,,3SeeDimensionBedroom114X14ft,3,0,"4,3BHKFlat","1Tower,65Units","Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,4,4,3,4,4,45,1,4
483,Bhubaneswar,MyNestAssets,7030000,No/RarePowercut,Unfurnished,,3SeeDimensionBedroom114X14ft,3,0,3BHKVilla,64Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,4,4,45,1,4
484,Bhubaneswar,DNHomesPvtLtd,5870000,North-EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,"Garden/Park,Pool,MainRoad",44HoursAvailable,4SeeDimensionsBedroom114X116ftBedroom411X14ft,4,1,"4,3BHKFlat","14Towers,708Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,46,1,4
485,Bhubaneswar,CovenantsDevelopersPvtLtd,7950000,North-EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,RP/19/404100557,Vitrified,3SeeDimensionsBedroom114X11ftBedroom4136X11ftBedroom3136X136ft,3,1,"4,3BHKFlat","1Tower,65Units","Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,4,4,3,4,4,45,1,4
486,Bhubaneswar,SaswatInfrastructure,4400000,"Vitrified,CeramicTiles,Granite",44HoursAvailable,4,4SeeDimensionsBedroom114X10ftBedroom414X10ft,4,3,"4,3BHKFlat","1Tower,48Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,4,4,47,1,4
487,Bhubaneswar,SBRealconPvtLtd,8880000,No/RarePowercut,Unfurnished,,3SeeDimensionBedroom114X15ft,3,3,3BHKVilla,"30Towers,30Units","Retirees,,Family,,Couple,,",4,4,4,4,4,5,5,4,4,3,3,4,48,1,4
488,Bhubaneswar,JBAssetsPvtLtd,5000000,NorthTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,RP/19/4018/00146,44HoursAvailable,4SeeDimensionsBedroom113X14ftBedroom414X11ft,4,3,"4,3BHKFlat",1Tower,"Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,4,4,3,4,4,45,1,4
489,Bhubaneswar,LifeStylePropertiesPvtLtd,7340000,NorthTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,MP/19/4019/00468,Vitrified,3SeeDimensionsBedroom111X14ftBedroom411X14ftBedroom311X14ft,3,1,"4,3BHKFlat","4Towers,154Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,46,1,4
490,Bhubaneswar,MMEngineers&Consultants,6090000,1Covered,44HoursAvailable,1,3SeeDimensionBedroom114X11ft,3,0,"1,4,3BHKFlat","1Tower,43Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,45,1,4
491,Bhubaneswar,EssenConstruction,7480000,44HoursAvailable,No/RarePowercut,Semi-Furnished,3,3,3,"4,3BHKFlat","4Towers,54Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,46,1,4
494,Bhubaneswar,DDMRealty,6480000,No/RarePowercut,Unfurnished,CCTVCameraSecurityGymnasiumKidsPlayAreaClubHouse,3,3,0,"3,4,5BHKVilla",70Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,46,1,4
493,Bhubaneswar,MSTBuilders,3560000,44HoursAvailable,No/RarePowercut,,4SeeDimensionBedroom1134X10ft,4,0,"4,3BHKFlat","6Towers,140Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,3,4,4,45,1,4
494,Bhubaneswar,LifeStylePropertiesPvtLtd,5040000,EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,RP/19/4041/00436,"CeramicTiles,Vitrified",4SeeDimensionsBedroom114X14ftBedroom413X14ft,4,3,"4,3BHKFlat","4Towers,154Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,46,1,4
495,Bhubaneswar,SonsyEngineersandConstructionsPvtLtd,6100000,44HoursAvailable,No/RarePowercut,Unfurnished,4SeeDimensionBedroom111X13ft,4,3,"4,3BHKFlat","1Tower,95Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,46,1,4
496,Bhubaneswar,SkyiesInfraHomeOPCPvtLtd,7000000,44HoursAvailable,No/RarePowercut,,3SeeDimensionBedroom114X14ft,3,0,3BHKVilla,50Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,3,4,45,1,4
497,Bhubaneswar,SurekaGroupandMerlinGroup,5800000,South-EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,"Garden/Park,Pool,MainRoad",44HoursAvailable,4SeeDimensionsBedroom110X141ftBedroom4117X107ft,4,1,"4,3BHKFlat","7Towers,394Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,4,4,47,1,4
498,Bhubaneswar,NandanEstate,8000000,North-EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,"Garden/Park,MainRoad",44HoursAvailable,3SeeDimensionsBedroom111X13ftBedroom411X13ftBedroom311X13ft,4,1,"3,4BHKVilla",400Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,46,1,4
499,Bhubaneswar,DhrutisovaInfratech,5500000,44HoursAvailable,No/RarePowercut,4,4,4,0,"4,3BHKFlat",1Tower,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,45,1,4
500,Bhubaneswar,DNHomesPvtLtd,6300000,EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,MP/19/4019/00468,"CeramicTiles,Granite,Vitrified",4SeeDimensionsBedroom114X11ftBedroom414X116ft,4,1,"4,3BHKFlat","14Towers,708Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,46,1,4
501,Guntur,IJMLingamaneniTownship,4730000,EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,APRERA07470040004,Vitrified,4SeeDimensionsBedroom114X10ftBedroom411X10ft,4,3,"4,3BHKFlat","3Towers,634Units","Retirees,,Family,,Couple,,",4,4,4,5,4,5,4,4,4,3,4,3,49,1,4
504,Delhi-N00000,LogixGroup,4690000,Semi-Furnished,,MeditationAreaRentableCommunitySpaceCycling&JoggingTrackEarlyLearningCentreRetailBoulevard(RetailShops)IndoorGamesRoomGymnasiumKidsPlayAreaIndoorSquash&BadmintonCourtsRe00000eationalPoolLibraryAndBusinessCentreReservedParkingActivityDeck4OutdoorTennisCourtsSwimmingPoolParkFlowerGardensEventSpace&AmphitheatreKidsClubLiftFireFightingEquipmentMultipurposeCourtsClubHouseViewallAmenities,4,4,3,"4,3,4BHKFlat","44Towers,4434Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,46,1,4
503,Delhi-N00000,MapskoGroupPvtLtd,16000000,North-EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,"Garden/Park,Pool",44HoursAvailable,4SeeDimensionsBedroom116X11ftBedroom414X10ftBedroom314X11ftBedroom414X11ft,4,3,"3,4BHKFlat|4,5BHKVilla|4BHKPenthouse","11Towers,956Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,46,1,4
504,Delhi-N00000,00000CGroup,7700000,North-EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,Garden/Park,UnderConstruction,3SeeDimensionsBedroom110X13ftBedroom410X136ftBedroom311X13ft,3,4,"4,3BHKFlat|3BHKVilla","6Towers,857Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,45,1,4
505,Delhi-N00000,ATSInfrastructureLtd,15000000,North-EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,"Garden/Park,Pool,MainRoad",44HoursAvailable,3SeeDimensionsBedroom114X16ftBedroom411X14ftBedroom311X14ft,3,3,"3,4BHKFlat","8Towers,443Units","Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,4,4,3,3,3,43,1,4
506,Delhi-N00000,GaursGroup,5000000,Marble,44HoursAvailable,3,3,4,3,"1,4,3BHKFlat|1BHKStudioApartment","40Towers,1674Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,3,4,4,46,1,4
507,Delhi-N00000,MigsunGroup,3800000,EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,"Garden/Park,Pool,MainRoad",44HoursAvailable,4SeeDimensionsBedroom114X14ftBedroom414X11ft,4,3,"4,3,4BHKFlat","6Towers,975Units","Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,4,4,3,4,4,44,1,4
508,Delhi-N00000,KrishnaApraRoyalCourt,6550000,North-EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,3386,NewConstruction,3,3,3,3BHKFlat,486Units,"Retirees,,Family,,Couple,,",5,5,5,5,4,5,5,4,4,4,4,5,5,1,4
509,Delhi-N00000,BPTPLtd,4400000,5to10years,Semi-Furnished,,3,4,3,"3,4BHKFlat|3,4BHKResidentialHouse",500Units,"Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,4,4,4,4,4,46,1,4
510,Delhi-N00000,GodrejProperties,49700000,North-EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,"Garden/Park,Pool,MainRoad",44HoursAvailable,5,5,1,"4,3,4BHKFlat|5BHKPenthouse","7Towers,700Units","Retirees,,Family,,Couple,,",4,4,4,3,4,4,4,3,4,4,4,4,45,1,6
511,New-Delhi,PartapBuilders,6000000,Unfurnished,4,,3,4,3,"1,4,3,4BHKFlat|1,4,3BHKBuilderFloorApartment","4Towers,9Units","Retirees,,Family,,Couple,,",4,3,4,3,4,3,4,3,4,4,4,4,44,1,4
514,New-Delhi,BharatHomes,3000000,No/RarePowercut,Semi-Furnished,,4SeeDimensionsBedroom114X10ftBedroom414X10ft,4,3,"1,4,3,4BHKFlat",1Tower,"Retirees,,Family,,Couple,,",4,3,4,3,4,3,4,3,4,4,4,4,44,1,4
513,New-Delhi,AggarwalRealEstates,4400000,44HoursAvailable,No/RarePowercut,Semi-Furnished,4SeeDimensionsBedroom111X10ftBedroom410X11ft,4,3,"1,4,3BHKFlat|1,4,3,4BHKBuilderFloorApartment",5Towers,"Retirees,,Family,,Couple,,",4,3,4,3,4,3,4,3,4,4,4,4,44,1,4
514,New-Delhi,FindahouseRealestateConsultantsLLP,4000000,No/RarePowercut,1,4,3SeeDimensionBedroom140X44ft,3,3,"3,4,5BHKFlat","1Tower,4Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,46,1,4
515,New-Delhi,UnityGroup,63500000,"Mosaic,Vitrified,Wooden,CeramicTiles",44HoursAvailable,4,4SeeDimensionBedroom115X14ft,4,3,"4,3,4,5BHKFlat","17Towers,4500Units","Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,45,1,5
516,New-Delhi,DLFLtd,44000000,44HoursAvailable,No/RarePowercut,Semi-Furnished,3,4,0,"4,3,4BHKFlat","4Towers,913Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,5,4,4,4,4,4,48,1,4
517,New-Delhi,SGambhirBuildtechPvtLtd,7040000,EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,"Garden/Park,MainRoad",44HoursAvailable,4SeeDimensionsBedroom114X14ftBedroom414X14ftBedroom314X14ftBedroom414X14ft,4,3,"1,4,3,4BHKBuilderFloorApartment","1Tower,48Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,45,1,4
518,New-Delhi,ARSHighVisionDevelopersPvtLtd,6500000,No/RarePowercut,1,4,3SeeDimensionBedroom115X14ft,4,3,"3BHKFlat|1,4,3BHKBuilderFloorApartment","1Tower,40Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,44,1,4
519,New-Delhi,UnityGroup,41000000,No/RarePowercut,4,,4SeeDimensionBedroom115X14ft,4,3,"4,3,4,5BHKFlat","17Towers,4500Units","Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,45,1,4
540,New-Delhi,Grouphousingsociety,15800000,"Garden/Park,MainRoad",Vitrified,No/RarePowercut,3SeeDimensionsBedroom110X11ftBedroom414X14ftBedroom310X11ft,4,3,3BHKFlat,"4Towers,104Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,43,1,6
541,New-Delhi,DLFLtd,34500000,44HoursAvailable,No/RarePowercut,UnderConstruction,4,4,1,"4,3,4BHKFlat","4Towers,913Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,5,4,4,4,4,4,48,1,7
544,New-Delhi,DLFLtd,40000000,EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,Garden/Park,44HoursAvailable,4,4,3,"3,4,5BHKFlat","8Towers,57Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,46,1,8
543,New-Delhi,KeshavKunj,17000000,"Garden/Park,MainRoad",Mosaic,No/RarePowercut,3SeeDimensionsBedroom114X14ftBedroom414X14ftBedroom314X14ft,4,3,3BHKFlat,75Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,46,1,6
